,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2012-11-07,0.57,-2.31,-0.21,-1.34,0.23,0.08,0.0,-0.0016807561740774801,-0.011785929752436974,-0.011935361947986944,-0.02646408311889692,-0.0340086618611517,-0.01680773205733077,-0.023792205271427225,-0.0159300972425811,-0.025274365095899753,-0.021238155577117723
2012-11-08,0.09,-1.24,-0.24,0.44,-0.26,0.37,0.0,-0.0016807561740774801,-0.016299501487204715,-0.010923172208939125,-0.0182316093226782,-0.008362637539473639,-0.01196087404439794,-0.010451145690503871,-0.01365861858987083,-0.014479805951880032,-0.0017186245111218135
2012-11-09,0.28,0.15,-0.01,-0.11,0.02,-0.08,0.0,-0.0016807561740774801,-0.004832235012943276,0.0,-0.0002874121191416279,0.001291105748162824,0.0028120507299171926,0.0027613615241004474,-0.0019664914175163695,0.00461371566999258,-0.006038839508075711
2012-11-12,0.01,0.0,-0.16,0.02,0.06,0.01,0.0,-0.0016807561740774801,0.0008803355778890243,0.0,0.0020111629912697992,0.0019334439862945807,0.005093544258532479,0.002753102551194875,0.0,-0.001416977291384125,-0.008399732464584808
2012-11-13,0.54,-0.4,-0.21,-0.29,0.02,0.23,0.0,-0.0016807561740774801,0.0028551951243129814,-0.0005777130560638,-0.00417015219253436,-0.007108279501375492,-0.00381807734296169,-0.002753102551194875,-0.0016888040862372833,-0.004977254363091266,0.003773753497566368
2012-11-14,-0.52,-1.4,-0.37,-0.19,0.1,-0.26,0.0,-0.0016807561740774801,-0.015027760641111332,-0.011050453499141799,-0.01217763679552375,-0.017665020998959946,-0.012055572770850453,-0.02371436333898158,-0.017046016704363787,-0.01002856027176513,-0.0069784727578112715
2012-11-15,-0.52,-0.24,-0.33,0.22,0.13,-0.01,0.0,-0.0016807561740774801,-0.0006678502127157593,-0.00029215506532720426,0.0013118718049129896,0.0019789373910503727,-0.0028426320752665823,0.0,-0.003444364777010378,-0.005776353894518138,-0.0058532433277758145
2012-11-16,0.84,0.58,0.03,0.07,-0.35,0.2,0.0,-0.0016807561740774801,0.006662119099789088,0.006414005671366407,0.003925150534288768,0.006565660229105319,0.007477084139535073,0.0028192790300156645,0.0022979098051565394,0.0014471992590325833,0.00847583955938136
2012-11-19,0.23,1.98,0.24,-0.06,0.45,-0.18,0.0,-0.0016807561740774801,0.021242232731634836,0.016143400299231114,0.0228082901707114,0.01880123522185917,0.010476418998188297,0.018686881840357827,0.02800363633762082,0.027105709808572076,0.000872562521738729
2012-11-20,0.82,0.11,-0.05,0.17,-0.36,0.18,0.0,-0.0016807561740774801,0.004971935924698023,0.0037105392550103033,-0.00397921061817641,0.0051250144072336745,0.005576588203333621,0.0008287378701234971,0.0008363110455960054,-0.004231459295411799,-0.0017458870737994125
2012-11-21,-0.22,0.31,0.34,-0.15,-0.02,0.09,0.0,-0.0016807561740774801,0.0034434676727155278,0.0014234381032411925,0.0053964870588534275,0.0,-0.0007585300960299968,0.0013794645984845921,0.001670729836722895,0.003175311484351351,-0.004379013030030077
2012-11-23,-0.23,1.28,-0.15,0.08,0.12,-0.02,0.0,-0.0016807561740774801,0.013233741691896839,0.014685444261619551,0.014063043500395,0.012067374355045235,0.012319271935425036,0.012875036984194121,0.01271778676647406,0.016073216074885543,-0.002636508677642535
